#Date,Open,High,Low,Close,Volume,Adj Close
2013/3/4,2332.08,2333.54,2259.25,2273.4,161750025,1.43047E+11
2013/3/5,2274.81,2328.14,2270.1,2326.31,131136598,1.16721E+11
2013/3/6,2333.62,2351.44,2321.6,2347.18,141333692,1.25365E+11
2013/3/7,2340.44,2352.02,2304.27,2324.29,139756348,1.26086E+11
2013/3/8,2326.42,2333.67,2314.59,2318.61,98794148,88438603776
2013/3/11,2314.68,2320.96,2296.58,2310.59,84111903,73919946752
2013/3/12,2309.16,2333.29,2264.83,2286.61,117664456,1.00637E+11
2013/3/13,2282.17,2286.33,2253.25,2263.97,90972788,77688954880
2013/3/14,2255.77,2276.22,2253.31,2270.28,80294086,69218590720
2013/3/15,2269.31,2312.08,2250,2278.4,116477813,1.01578E+11
2013/3/18,2267.29,2276.05,2239.21,2240.02,93122772,81486176256
2013/3/19,2244.26,2261.31,2232.02,2257.43,87582105,75512070144
2013/3/20,2257.74,2317.86,2257.42,2317.37,131241284,1.13974E+11
2013/3/21,2318.21,2330.81,2311.6,2324.24,119200910,1.04786E+11
2013/3/22,2321.4,2332,2314.97,2328.28,101167299,85951324160
2013/3/25,2334.74,2344.89,2319.91,2326.72,97031526,85418622976
2013/3/26,2318.58,2319.99,2281.12,2297.67,104449015,91811323904
2013/3/27,2299.38,2323.48,2289,2301.26,96331195,85708423168
2013/3/28,2273.55,2273.55,2232.91,2236.3,127658698,1.07594E+11
2013/3/29,2238.49,2246.87,2228.81,2236.62,85565473,73358188544
2013/4/1,2229.46,2243.95,2227.31,2234.4,77411774,66997534720
2013/4/2,2234.9,2253.42,2220.44,2227.74,89714323,77596663808
2013/4/3,2232.69,2241.34,2217.25,2225.29,81795267,68801355776
2013/4/8,2196.24,2212.59,2180.67,2211.59,86257470,73666166784
2013/4/9,2215.47,2234.73,2215.47,2225.77,82896544,73135038464
2013/4/10,2224.93,2233.04,2212.56,2226.13,80619621,71090216960
2013/4/11,2236.98,2242.48,2217.26,2219.55,73632704,62132699136
2013/4/12,2218.1,2226.26,2204.44,2206.78,66846340,56196878336
2013/4/15,2199.91,2204.99,2177.39,2181.94,71632323,58162176000
2013/4/16,2169.63,2196.43,2165.78,2194.85,79992178,66955845632
2013/4/17,2195.03,2197.51,2178.47,2193.8,68314181,59986554880
2013/4/18,2181.82,2206.03,2175.44,2197.6,71616927,61888122880
2013/4/19,2201.12,2250.11,2200.58,2244.64,109660556,95383011328
2013/4/22,2236.4,2245.12,2232.26,2242.17,95233730,82245001216
2013/4/23,2242.62,2242.62,2182.81,2184.54,96541315,82217517056
2013/4/24,2187.35,2226.12,2184.11,2218.32,91600261,78977212416
2013/4/25,2213.19,2224.63,2191.85,2199.31,96704188,84483235840
2013/4/26,2203.89,2210.58,2173.86,2177.91,76673970,65251508224
2013/5/2,2170.78,2179.65,2161.14,2174.12,68337936,59877609472
2013/5/3,2179.05,2222.81,2179.05,2205.5,88583464,78315700224
2013/5/6,2212.5,2236.07,2212.5,2231.17,92268146,81625604096
2013/5/7,2227.86,2240.26,2219.44,2235.57,86452356,79040921600
2013/5/8,2242.39,2255.21,2235.42,2246.3,90371933,81390845952
2013/5/9,2246.96,2247.86,2221.38,2232.97,98531637,91165294592
2013/5/10,2228.82,2247.67,2225.81,2246.83,90335476,81280139264
2013/5/13,2247.68,2250.85,2231.36,2241.92,86211224,79191482368
2013/5/14,2238.9,2239.93,2205.87,2217.01,83244975,75660468224
2013/5/15,2217.09,2225.19,2213.58,2224.8,71722893,66658263040
2013/5/16,2221.34,2252.87,2210.77,2251.81,110284376,1.02255E+11
2013/5/17,2249.81,2288.09,2248.41,2282.87,126126006,1.11249E+11
2013/5/20,2286.33,2309.39,2281.9,2299.99,139150514,1.28844E+11
2013/5/21,2297.11,2305.3,2290.12,2305.11,124173176,1.13025E+11
2013/5/22,2303.75,2314.18,2292.43,2302.4,128360026,1.1529E+11
2013/5/23,2293.81,2304.95,2274.1,2275.67,124019844,1.11052E+11
2013/5/24,2281.45,2292.6,2270.25,2288.53,101441213,92021530624
2013/5/27,2286.66,2301.7,2283.94,2293.08,107325061,99920158720
2013/5/28,2293.4,2322.1,2281.47,2321.32,132632995,1.20352E+11
2013/5/29,2323.54,2334.33,2321.17,2324.02,125250729,1.14312E+11
2013/5/30,2316.25,2325.72,2310.49,2317.75,111913032,1.03547E+11
2013/5/31,2320.74,2325.53,2299.37,2300.6,108162554,1.00704E+11
2013/6/3,2300.21,2313.43,2294.11,2299.25,96882814,91648606208
2013/6/4,2297.1,2297.1,2264.76,2272.42,101895818,92377178112
2013/6/5,2270.71,2276.87,2260.87,2270.93,76483303,71142678528
2013/6/6,2264.43,2266.69,2240.07,2242.11,81538694,75261583360
2013/6/7,2242.26,2250.63,2205.07,2210.9,89978077,81058349056
2013/6/13,2190.1,2190.1,2126.22,2148.36,94371094,79714525184
2013/6/14,2150.06,2163.85,2142.78,2162.04,77857472,68747763712
